date,temperature,dewpoint,humidity,pressure,visibility,windspeed,precipitation,rain,winddirection
2004-02-01,9.0,8.0,92.0,1030,5.0,6,0.0,0,347
2004-02-02,11.0,7.0,85.0,1031,10.0,5,0.0,0,353
2004-02-03,10.0,5.0,79.0,1033,9.0,3,0.0,0,351
2004-02-04,11.0,6.0,78.0,1035,9.0,3,0.0,0,359
2004-02-05,11.0,5.0,76.0,1035,9.0,3,0.0,0,359
2004-02-06,9.0,4.0,75.0,1031,10.0,5,0.0,0,339
2004-02-07,9.0,4.0,77.0,1029,5.0,3,0.0,0,347
2004-02-08,9.0,4.0,79.0,1028,9.0,6,0.0,0,350
2004-02-09,6.0,3.0,89.0,1027,4.0,5,0.0,0,7
2004-02-10,7.0,-3.0,61.0,1027,9.0,6,0.0,0,21
2004-02-11,6.0,-6.0,53.0,1026,9.0,5,0.0,0,355
2004-02-12,6.0,-3.0,58.0,1025,10.0,5,0.0,0,63
2004-02-13,7.0,-1.0,62.0,1025,10.0,5,0.0,0,347
2004-02-14,7.0,1.0,68.0,1023,7.0,5,0.0,0,348
2004-02-15,7.0,2.0,74.0,1022,10.0,5,0.0,0,300
2004-02-16,7.0,3.0,81.0,1024,5.0,5,0.0,0,89
2004-02-17,4.0,-2.0,62.0,1025,10.0,5,0.0,0,33
2004-02-18,4.0,-2.0,68.0,1018,10.0,5,0.0,0,31
2004-02-19,4.0,-5.0,53.0,1009,10.0,11,0.0,0,34
2004-02-20,2.0,-1.0,79.0,1001,9.0,10,0.0,1,18
2004-02-21,7.0,4.0,88.0,996,9.0,10,0.0,1,314
2004-02-22,3.0,1.0,80.0,1008,9.0,10,0.0,1,183
2004-02-23,4.0,2.0,82.0,1012,8.0,10,0.0,0,189
2004-02-24,3.0,3.0,89.0,1009,9.0,8,0.0,1,3
2004-02-25,8.0,6.0,90.0,1004,8.0,6,0.0,1,340
2004-02-26,4.0,1.0,77.0,1004,10.0,8,0.0,1,26
2004-02-27,3.0,-4.0,61.0,1005,10.0,14,0.0,0,273
2004-02-28,4.0,-5.0,54.0,1012,10.0,23,0.0,0,288
2004-02-29,4.0,-3.0,57.0,1015,10.0,19,0.0,0,330
2004-03-01,2.0,-8.0,51.0,1021,10.0,10,0.0,0,21
2004-03-02,2.0,-9.0,49.0,1027,9.0,6,0.0,0,31
2004-03-03,4.0,-4.0,60.0,1030,9.0,3,0.0,0,272
2004-03-04,7.0,-1.0,63.0,1029,9.0,5,0.0,0,226
2004-03-05,8.0,1.0,66.0,1024,9.0,5,0.0,0,298
2004-03-06,12.0,5.0,66.0,1021,9.0,16,0.0,0,303
2004-03-07,7.0,1.0,60.0,1026,10.0,5,0.0,0,311
2004-03-08,8.0,3.0,70.0,1023,10.0,5,0.0,0,40
2004-03-09,9.0,4.0,71.0,1022,8.0,5,0.0,0,336
2004-03-10,11.0,4.0,66.0,1018,10.0,10,0.0,0,307
2004-03-11,9.0,4.0,69.0,1017,10.0,13,0.0,0,212
2004-03-12,9.0,7.0,84.0,1012,9.0,11,0.0,1,194
2004-03-13,8.0,6.0,84.0,1017,10.0,5,0.0,1,17
2004-03-14,8.0,4.0,75.0,1027,10.0,6,0.0,0,344
2004-03-15,12.0,5.0,64.0,1029,10.0,10,0.0,0,13
2004-03-16,11.0,6.0,68.0,1029,10.0,6,0.0,0,261
2004-03-17,12.0,7.0,74.0,1029,10.0,5,0.0,0,156
2004-03-18,11.0,7.0,76.0,1028,9.0,5,0.0,0,352
2004-03-19,12.0,5.0,64.0,1030,10.0,3,0.0,0,356
